,importance,stddev,p_value,n,p99_high,p99_low
SdCH2,0.0015297989838657748,0.0011255397529999535,0.07139203377236976,3,0.007979266583839958,-0.0049196686161084085
nG12HRing,0.0015148974730603282,0.00045041754500836997,0.014112904562057962,3,0.004095839954433099,-0.001066045008312443
CIC0,0.0015140507057316288,0.0010178362720595251,0.06168829314739669,3,0.007346365416278052,-0.004318264004814794
MATS3are,0.0015129777962335316,0.0024329318141130167,0.19704569088467533,3,0.015453946887948022,-0.01242799129548096
AATS8s,0.0014938272446864964,0.001227391347180308,0.08478173854356863,3,0.008526915774015755,-0.005539261284642763
ATSC3p,0.001491257341402467,0.0015539345554926095,0.11918330452720942,3,0.01039547466595065,-0.007412959983145717
AATS8are,0.0014837327992937392,0.001457352179152915,0.10994249459716073,3,0.00983452239703697,-0.006867056798449491
AATS6se,0.001476681849950941,0.0008965553488890285,0.05202374469517697,3,0.006614043421438304,-0.0036606797215364226
AATSC0Z,0.0014709811503684778,0.0018365385688122674,0.1498603920236926,3,0.011994550810247178,-0.009052588509510223
EState_VSA5,0.0014570872397773327,0.002264899432556689,0.1905538400985351,3,0.014435212151439057,-0.011521037671884391
AATSC0dv,0.0014440546167312125,0.0005072388725980987,0.019376455153868165,3,0.0043505896063212295,-0.0014624803728588048
AATSC6dv,0.001436443030716698,0.0004506929033393399,0.015641346261563282,3,0.004018963345861435,-0.0011460772844280392
GATS4i,0.0014052957247276583,9.751476677214305e-05,0.0008005897432485158,3,0.0019640661521067807,0.000846525297348536
n6HRing,0.001398363207867089,0.002158082578943317,0.1891850761823083,3,0.013764415703006483,-0.010967689287272304
ATS8v,0.0013983443307749033,0.0006540951087036396,0.03290785423709929,3,0.005146381838683245,-0.0023496931771334376
MATS1Z,0.0013913368626079132,0.0021541410983504368,0.1897972740600692,3,0.013734804236864679,-0.010952130511648851
ATSC1pe,0.0013855191365742907,0.0016636801800146517,0.1429683575825327,3,0.01091859105973377,-0.00814755278658519
GATS4are,0.0013823599826678172,0.00217896102717256,0.19322269666977554,3,0.013868048301449458,-0.011103328336113825
MDEO-22,0.00138069263507871,0.0014290000141500593,0.11810169751794948,3,0.009569021183278676,-0.006807635913121256
AATS1pe,0.001379184602459708,0.00040273621927976606,0.013633106941815312,3,0.0036869077998482385,-0.0009285385949288222
VR1_A,0.0013750514630576454,0.0011079522075627423,0.08229146848464924,3,0.00772374047732836,-0.004973637551213069
